idcar_200m,idcar_1km,idcar_nat,i_est_200,i_est_1km,lcog_geo,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc
CRS3035RES200mN2529200E3923200,CRS3035RES1000mN2529000E3923000,CRS3035RES1000mN2529000E3923000,0,0,"69383,69266",772,370,42,175,21,139,36,20924164.1,25693,358,12,71,21,33,245,0,29,33.5,27,53,84,60.5,205,146,66,70,24,3
CRS3035RES200mN2529200E3923400,CRS3035RES1000mN2529000E3923000,CRS3035RES1000mN2529000E3923000,0,0,"69383,69266",987.5,482,66,231,31,197,39,26583847.1,34239,475,7,93,12,179,198,0,126,47,25,61.5,86,71,208,191,104,130,63,1
CRS3035RES200mN2529200E3923600,CRS3035RES1000mN2529000E3923000,CRS3035RES1000mN2529000E3923000,0,0,"69266,69383",173,74,9,25,5,29,9,4551444.1,5719,66,8,9,2,13,50,0,0,14,4.5,12.5,15,17,37,44,8,16,5,0
CRS3035RES200mN2529200E3923800,CRS3035RES1000mN2529000E3923000,CRS3035RES1000mN2529000E3923000,0,0,"69266,69383",146,67,11,20,3,20,8,3595901,4703,63,4,4,0,0,63,0,14,14,3,13,3,17,55,17,11,13,0,0
CRS3035RES200mN2529400E3914000,CRS3035RES1000mN2529000E3914000,CRS3035RES1000mN2529000E3914000,1,0,"69089,69385",25,9.8,0.8,4.5,1.5,4.5,0,905845.8,1072.7,4.5,5.3,2.3,0.7,0.7,6.1,0,0,0,0.8,3,3,3,2.3,9.1,1.5,1.5,0.8,0
CRS3035RES200mN2529400E3914200,CRS3035RES1000mN2529000E3914000,CRS3035RES1000mN2529000E3914000,0,0,"69385,69089",86.5,30,2,5,4,27,0,3781124.6,3982,2,28,0,10,3,17,0,0,3,1,3,10,12.5,9,17,24,4,3,0
CRS3035RES200mN2529400E3914400,CRS3035RES1000mN2529000E3914000,CRS3035RES1000mN2529000E3914000,0,0,69385,106.5,41,1,11,5,36,4,4256609.2,5164,9,32,8,0,10,23,0,0,4,2,8,15,7.5,10,27,25,7,1,0
CRS3035RES200mN2529400E3914600,CRS3035RES1000mN2529000E3914000,CRS3035RES1000mN2529000E3914000,0,0,69385,49,20,0,2,0,18,2,1952241,2357,1,19,2,2,1,15,0,0,1,0,1,4,4,7,14,6,11,1,0
CRS3035RES200mN2529400E3914800,CRS3035RES1000mN2529000E3914000,CRS3035RES1000mN2529000E3914000,0,0,69385,359.5,169,8,65,8,126,23,10069406.7,13057,145,24,11,144,9,5,0,4,16,6,23.5,33.5,23.5,61,85,42,50,19,0
CRS3035RES200mN2529400E3915000,CRS3035RES1000mN2529000E3915000,CRS3035RES1000mN2529000E3915000,0,0,69385,380,192,18,85,4,119,27,9842384.9,13416,189,3,2,102,30,58,0,3,24,9,21,21,36,106,70,34,42,17,0
CRS3035RES200mN2529400E3915200,CRS3035RES1000mN2529000E3915000,CRS3035RES1000mN2529000E3915000,0,0,69385,164.5,77,8,29,4,20,11,4508430.7,5576,73,4,2,0,1,74,0,13,5,1,9,17,24.5,45,31,20,8,4,0
CRS3035RES200mN2529400E3915400,CRS3035RES1000mN2529000E3915000,CRS3035RES1000mN2529000E3915000,0,0,69385,80,36,4,10,1,9,7,2269088.4,2620,31,5,5,0,0,31,0,6,2,3,6,10,7,12,27,8,5,0,0
CRS3035RES200mN2529400E3915600,CRS3035RES1000mN2529000E3915000,CRS3035RES1000mN2529000E3915000,0,0,69385,163,74,12,25,3,51,15,4709104.1,6768,54,20,12,53,2,7,0,0,8,2.5,13.5,13.5,11.5,30,32,24,20,8,0
CRS3035RES200mN2529400E3915800,CRS3035RES1000mN2529000E3915000,CRS3035RES1000mN2529000E3915000,0,0,"69385,69202",100,33,3,8,8,28,1,4113841.2,3819,14,19,24,5,3,1,0,0,1,3,7,18,11,7,27,8,15,3,0
CRS3035RES200mN2529400E3916000,CRS3035RES1000mN2529000E3916000,CRS3035RES1000mN2529000E3916000,0,0,"69385,69202",428,202,28,82,10,89,36,10201603.9,13855,201,1,1,84,16,101,0,46,25,12,24,46,27,105,88,47,40,14,0
CRS3035RES200mN2529400E3916200,CRS3035RES1000mN2529000E3916000,CRS3035RES1000mN2529000E3916000,0,0,"69202,69385",736,376,49,170,18,231,60,16837710.5,23740,372,4,1,263,59,53,0,17,26.5,16,31.5,66,58,158,160,93,86,40,1
CRS3035RES200mN2529400E3916400,CRS3035RES1000mN2529000E3916000,CRS3035RES1000mN2529000E3916000,0,0,"69202,69385",112.5,45,2,9,3,42,1,4385829.3,5150,2,43,39,3,2,1,0,0,1,1,4,9.5,12,10,15,13,39,8,0
CRS3035RES200mN2529400E3916600,CRS3035RES1000mN2529000E3916000,CRS3035RES1000mN2529000E3916000,0,0,"69385,69202",265.5,128,4,41,1,95,17,10369025.4,12061,103,25,16,34,2,76,0,0,3.5,4.5,9.5,20,26,28,65,48,48,13,0
CRS3035RES200mN2529400E3916800,CRS3035RES1000mN2529000E3916000,CRS3035RES1000mN2529000E3916000,0,0,69385,350,162,9,71,9,111,14,10201224.6,11943,145,17,7,154,1,0,0,0,18,5,18.5,35.5,23,72,72,36,53,17,0
CRS3035RES200mN2529400E3917000,CRS3035RES1000mN2529000E3917000,CRS3035RES1000mN2529000E3917000,0,0,69385,167,87,4,40,3,61,1,6195987.7,7781,76,11,0,8,78,1,0,0,4,3,6,10,12,27,22,25,41,17,0
CRS3035RES200mN2529400E3917200,CRS3035RES1000mN2529000E3917000,CRS3035RES1000mN2529000E3917000,0,0,69385,97,45,1,12,1,35,6,3977966.2,4813,42,3,3,33,0,9,0,0,2,1,4,8,6,12,19,8,26,11,0
CRS3035RES200mN2529400E3917400,CRS3035RES1000mN2529000E3917000,CRS3035RES1000mN2529000E3917000,0,0,69385,294,144,8,59,3,95,10,10935310.1,12457,126,18,32,0,111,1,0,0,15,3.5,7.5,19,24,64,37,34,60,30,0
CRS3035RES200mN2529400E3917600,CRS3035RES1000mN2529000E3917000,CRS3035RES1000mN2529000E3917000,0,0,69385,54,29,1,15,1,14,2,1699908,2919,23,6,5,0,21,3,0,0,1,2,3,1,4,14,11,5,11,2,0
CRS3035RES200mN2529400E3917800,CRS3035RES1000mN2529000E3917000,CRS3035RES1000mN2529000E3917000,0,0,"69385,69382",114.5,48,22,19,5,0,11,1784791.6,3747,48,0,0,0,48,0,0,48,4,2,5.5,23,9,17,19,19,16,0,0
CRS3035RES200mN2529400E3918000,CRS3035RES1000mN2529000E3918000,CRS3035RES1000mN2529000E3918000,0,0,"69382,69385",398,193,20,96,12,87,6,14671102.7,18626,193,0,78,10,88,17,0,0,16,5,21,27.5,33.5,91,75,41,58,30,0
CRS3035RES200mN2529400E3918200,CRS3035RES1000mN2529000E3918000,CRS3035RES1000mN2529000E3918000,0,0,69382,751,413,44,223,15,165,21,26228633.6,34704,412,1,346,18,5,44,0,2,26,15,25.5,40.5,70,189,137,99,86,63,0
