Idcar_200m,I_est_200,Idcar_1km,I_est_1km,Idcar_nat,Groupe,Ind,Men_1ind,Men_5ind,Men_prop,Men_fmp,Ind_snv,Men_surf,Men_coll,Men_mais,Log_av45,Log_45_70,Log_70_90,Log_ap90,Log_inc,Log_soc,Ind_0_3,Ind_4_5,Ind_6_10,Ind_11_17,Ind_18_24,Ind_25_39,Ind_40_54,Ind_55_64,Ind_65_79,Ind_80p,Ind_inc,Men_pauv,Men,lcog_geo
CRS3035RES200mN2527600E3918400,0,CRS3035RES1000mN2527000E3918000,0,CRS3035RES1000mN2527000E3918000,593686,968.5,232,13,127,58,21352813,29441,500,0,21,143,72,264,0,180,68.5,29,53,59,61,364,147,83,65,37,2,70,500,69387
CRS3035RES200mN2527600E3918600,0,CRS3035RES1000mN2527000E3918000,0,CRS3035RES1000mN2527000E3918000,593687,1179,192,47,93,54,27215085.5,31049,505,0,0,0,0,505,0,199,92.5,58,115,79,93.5,440,210,44,33,6,8,66,505,69387
CRS3035RES200mN2527600E3918800,0,CRS3035RES1000mN2527000E3918000,0,CRS3035RES1000mN2527000E3918000,593668,134,48,2,16,4,3010000.5,4434,81,0,16,17,0,48,0,0,7,3,4,2,20,52,14,14,11,7,0,27,81,69387
CRS3035RES200mN2527600E3919000,0,CRS3035RES1000mN2527000E3919000,0,CRS3035RES1000mN2527000E3919000,593666,1427.5,255,19,223,61,37831142,43644.8,660,0,11,1,0,647,1,108,122,47.5,86,93,78,591,265,74,55,13,3,52,660,69387
CRS3035RES200mN2527600E3919200,0,CRS3035RES1000mN2527000E3919000,0,CRS3035RES1000mN2527000E3919000,593656,29,12,1,7,0,725078.4,1276,16,2,16,0,0,2,0,1,0,0,3,1,1,8,10,2,1,3,0,3,18,69387
CRS3035RES200mN2527600E3919800,0,CRS3035RES1000mN2527000E3919000,0,CRS3035RES1000mN2527000E3919000,593659,119.5,25,3,0,16,1940362.4,3645,60,0,60,0,0,0,0,60,7.5,4,6.5,9.5,14,27,28,11,8,2,2,19,60,"69388,69387"
CRS3035RES200mN2527600E3923000,1,CRS3035RES1000mN2527000E3923000,0,CRS3035RES1000mN2527000E3923000,593785,11,3.6,0.6,1.3,0.1,326984.4,444.8,4.3,1.2,4.9,0.3,0,0.3,0,0.3,0.6,0.7,1.2,0.9,0.6,2.8,2.5,0.8,0.9,0,0,0.6,5.5,"69388,69383"
CRS3035RES200mN2527800E3917000,1,CRS3035RES1000mN2527000E3917000,0,CRS3035RES1000mN2527000E3917000,593597,3,0.4,0.1,0.5,0.1,95159.1,133.4,1.1,0.2,0.2,0,0,1.1,0,0,0.2,0.1,0,0.2,0.3,1,0.6,0.3,0.2,0.1,0,0.1,1.3,"69142,69382"
CRS3035RES200mN2527800E3918000,0,CRS3035RES1000mN2527000E3918000,0,CRS3035RES1000mN2527000E3918000,593689,1208,261,29,285,76,28385134.1,41593,589,0,0,457,132,0,0,131,79,32,84,83.5,78.5,292,226,116,158,59,0,56,589,69387
CRS3035RES200mN2527800E3918200,0,CRS3035RES1000mN2527000E3918000,0,CRS3035RES1000mN2527000E3918000,593681,739.5,139,16,89,55,16015087.4,22145,345,1,9,1,0,336,0,160,50.5,17.5,57,47.5,54,233,143,72,61,4,0,60,346,69387
CRS3035RES200mN2527800E3918400,0,CRS3035RES1000mN2527000E3918000,0,CRS3035RES1000mN2527000E3918000,593680,647,148,14,182,29,15733281.3,21980,319,7,38,193,28,67,0,42,39,11.5,31.5,40.5,51.5,196,124,65,46,41,1,37,326,69387
CRS3035RES200mN2527800E3918600,1,CRS3035RES1000mN2527000E3918000,0,CRS3035RES1000mN2527000E3918000,593667,34,14.6,0,6.8,2.9,660722.2,1054,23.3,1,24.3,0,0,0,0,14.6,1,0,0.5,0.5,2.9,12.6,8.7,3.9,2.9,1,0,3.9,24.3,69387
CRS3035RES200mN2527800E3918800,1,CRS3035RES1000mN2527000E3918000,0,CRS3035RES1000mN2527000E3918000,593667,1,0.4,0,0.2,0.1,19433,31,0.7,0,0.7,0,0,0,0,0.4,0,0,0,0,0.1,0.4,0.3,0.1,0.1,0,0,0.1,0.7,69387
CRS3035RES200mN2527800E3919000,0,CRS3035RES1000mN2527000E3919000,0,CRS3035RES1000mN2527000E3919000,593662,471.5,74,14,61,28,10914524,14327,208,0,28,0,47,133,0,78,31,16,26,48.5,36,140,88,55,23,8,0,28,208,69387
CRS3035RES200mN2527800E3919200,0,CRS3035RES1000mN2527000E3919000,0,CRS3035RES1000mN2527000E3919000,593663,571,106,19,69,30,13463756.4,17185,263,0,44,0,0,219,0,95,51,12,49.5,29.5,24,205,112,38,41,8,1,30,263,69387
CRS3035RES200mN2527800E3919400,1,CRS3035RES1000mN2527000E3919000,0,CRS3035RES1000mN2527000E3919000,593655,4.5,0.3,0,0.1,0.1,78173,111.9,1.7,0,1.7,0,0,0,0,1.5,0.5,0,0.5,0.2,0.3,1.1,0.7,1.2,0,0,0,0.5,1.7,69387
CRS3035RES200mN2527800E3919800,1,CRS3035RES1000mN2527000E3919000,0,CRS3035RES1000mN2527000E3919000,593655,29,1.7,0,0.9,0.9,503781.4,721.1,11.3,0,11.3,0,0,0,0,9.5,3.5,0,3,1.7,1.8,6.9,4.3,7.8,0,0,0,3.5,11.3,"69387,69388"
CRS3035RES200mN2527800E3920000,0,CRS3035RES1000mN2527000E3920000,0,CRS3035RES1000mN2527000E3920000,593730,583.5,155,9,89,35,10349855.3,15299.7,315,0,40,142,80,51,2,135,28,16,34,28,49.5,150,99,68,79,32,0,94,315,"69388,69387"
CRS3035RES200mN2527800E3920200,1,CRS3035RES1000mN2527000E3920000,0,CRS3035RES1000mN2527000E3920000,593713,37,14.2,0.9,3.8,0.9,764444.5,1171.7,20.9,1.9,22.8,0,0,0,0,0,0.9,0,1.9,1,8.5,13.3,7.6,2.8,1,0,0,6.6,22.8,"69388,69387"
CRS3035RES200mN2527800E3920400,1,CRS3035RES1000mN2527000E3920000,0,CRS3035RES1000mN2527000E3920000,593713,2,0.8,0.1,0.2,0.1,41321.3,63.3,1.1,0.1,1.2,0,0,0,0,0,0,0,0.1,0,0.5,0.7,0.4,0.2,0.1,0,0,0.4,1.2,"69388,69387"
CRS3035RES200mN2527800E3922600,0,CRS3035RES1000mN2527000E3922000,0,CRS3035RES200mN2527800E3922600,593856,463,143,13,43,33,8833477.6,14560,248,7,12,203,17,23,0,177,20,12,24,35,35,102,92,53,62,27,1,62,255,"69388,69383"
CRS3035RES200mN2527800E3922800,0,CRS3035RES1000mN2527000E3922000,0,CRS3035RES200mN2527800E3922800,593852,382.5,68,10,122,17,11745056.6,16080,169,11,16,131,19,13,1,0,15,7,17,33,33.5,76,78,33,57,33,0,11,180,"69383,69388"
CRS3035RES200mN2527800E3923000,1,CRS3035RES1000mN2527000E3923000,0,CRS3035RES1000mN2527000E3923000,593785,55,17.8,3,6.7,0.7,1634922.2,2223.8,21.6,5.9,24.5,1.5,0,1.5,0,1.5,3,3.7,5.9,4.5,3,14.1,12.6,3.7,4.5,0,0,3,27.5,"69383,69388"
CRS3035RES200mN2527800E3923200,1,CRS3035RES1000mN2527000E3923000,0,CRS3035RES1000mN2527000E3923000,593785,1,0.3,0.1,0.1,0,29725.9,40.4,0.4,0.1,0.5,0,0,0,0,0,0,0.1,0.1,0.1,0,0.3,0.2,0.1,0.1,0,0,0.1,0.5,"69383,69029"
CRS3035RES200mN2528000E3918000,0,CRS3035RES1000mN2528000E3918000,0,CRS3035RES200mN2528000E3918000,595413,143.5,19,2,35,6,4380292.6,4853,61,0,0,0,0,61,0,0,4,3,9.5,14,14,32,38,16,12,1,0,4,61,"69387,69382"
CRS3035RES200mN2528000E3918200,0,CRS3035RES1000mN2528000E3918000,0,CRS3035RES200mN2528000E3918200,595415,143,44,2,28,5,3730949.7,4689,84,0,5,1,38,40,0,0,7,3,1,5,22,50,19,14,19,2,1,17,84,69387
CRS3035RES200mN2528000E3918400,0,CRS3035RES1000mN2528000E3918000,0,CRS3035RES200mN2528000E3918400,595409,50,8,2,5,4,1226130.9,1607,23,0,0,0,0,23,0,5,4,2.5,4.5,5,3,15,9,1,4,2,0,2,23,69387
CRS3035RES200mN2528000E3918600,0,CRS3035RES1000mN2528000E3918000,0,CRS3035RES200mN2528000E3918600,595416,231,40,8,6,17,4517208.9,5843.9,104,0,0,1,0,102,1,46,28.5,7,18,15.5,25,94,33,7,2,1,0,20,104,69387
CRS3035RES200mN2528000E3918800,0,CRS3035RES1000mN2528000E3918000,0,CRS3035RES200mN2528000E3918800,595421,511.5,105,1,161,11,13873005.9,15573.8,260,0,0,0,0,259,1,33,49,20,19,9,39.5,308,53,8,5,0,1,24,260,69387
CRS3035RES200mN2528000E3919000,0,CRS3035RES1000mN2528000E3919000,0,CRS3035RES1000mN2528000E3919000,595451,62,18,1,0,9,1024771.7,2025,34,0,0,1,0,33,0,33,10,2,3,6,4,25,10,2,0,0,0,7,34,69387
CRS3035RES200mN2528000E3919200,0,CRS3035RES1000mN2528000E3919000,0,CRS3035RES1000mN2528000E3919000,595452,164.5,31,4,0,13,3400432.2,5279,79,0,3,28,48,0,0,0,5,3,5,11.5,22,60,33,11,13,1,0,13,79,69387
CRS3035RES200mN2528000E3919400,1,CRS3035RES1000mN2528000E3919000,0,CRS3035RES1000mN2528000E3919000,595449,22,4.9,0.9,4,0,554726,561.7,6.3,3.6,9.4,0,0,0.5,0,0,2.2,0.9,0.4,0.5,3.1,7.2,2.7,1.3,2.7,0.5,0.5,2.2,9.9,69387
CRS3035RES200mN2528000E3919600,1,CRS3035RES1000mN2528000E3919000,0,CRS3035RES1000mN2528000E3919000,595449,7,1.6,0.3,1.3,0,176503.7,178.7,2,1.1,3,0,0,0.1,0,0,0.7,0.3,0.1,0.1,1,2.3,0.9,0.4,0.9,0.1,0.2,0.7,3.1,69387
CRS3035RES200mN2528000E3919800,0,CRS3035RES1000mN2528000E3919000,0,CRS3035RES1000mN2528000E3919000,595450,45.5,7,2,4,4,713998,1276.9,18,2,18,0,0,1,1,0,4,2,5.5,1,5,13,5,5,4,1,0,8,20,69387
CRS3035RES200mN2528000E3920000,0,CRS3035RES1000mN2528000E3920000,0,CRS3035RES1000mN2528000E3920000,595497,439.5,132,9,62,20,9369056.4,13848,240,5,189,12,0,44,0,27,33,10.5,13,14,67,151,78,33,30,9,1,53,245,69387
CRS3035RES200mN2528000E3920200,0,CRS3035RES1000mN2528000E3920000,0,CRS3035RES1000mN2528000E3920000,595507,857,298,21,51,50,17167790.1,25213,478,11,57,74,10,348,0,97,56,24,43.5,49.5,124,314,121,38,46,41,0,96,489,69387
CRS3035RES200mN2528000E3920400,0,CRS3035RES1000mN2528000E3920000,0,CRS3035RES1000mN2528000E3920000,595498,510,111,10,59,19,12709250.2,15076,250,0,6,1,5,238,0,23,46,18,26.5,26.5,60,242,67,11,10,2,1,28,250,"69387,69388"
CRS3035RES200mN2528000E3920600,0,CRS3035RES1000mN2528000E3920000,0,CRS3035RES1000mN2528000E3920000,595510,1230,253,42,101,62,27557088.5,34407.2,564,0,0,0,0,563,1,219,92,49,107,90.5,129.5,444,206,54,49,7,2,109,564,"69388,69387"
CRS3035RES200mN2528000E3922200,1,CRS3035RES1000mN2528000E3922000,0,CRS3035RES1000mN2528000E3922000,595603,5,2.8,0.1,0.9,0,105279.7,169,3.6,0,3.2,0,0,0.4,0,0,0.1,0.1,0.1,0,0.8,2.6,0.6,0.4,0.2,0.1,0,0.6,3.6,"69388,69383"
CRS3035RES200mN2528000E3922400,0,CRS3035RES1000mN2528000E3922000,0,CRS3035RES1000mN2528000E3922000,595604,103,29,1,30,1,2677250.1,3859,56,0,0,56,0,0,0,0,7,3,5,1,11,40,11,7,16,2,0,6,56,"69383,69388"
CRS3035RES200mN2528000E3922800,0,CRS3035RES1000mN2528000E3922000,0,CRS3035RES1000mN2528000E3922000,595606,164,52,2,34,10,4766860.1,6731,70,22,42,39,4,7,0,16,3,4,7,12,21,40,27,25,21,4,0,15,92,69383
